Wavelength,Intensity
593.4769230769231,74.92857142857143
594.5076923076923,72.61238095238096
595.5384615384615,70.4504761904762
596.5692307692308,68.12095238095239
597.6,65.92476190476191
598.6307692307693,64.19904761904762
599.6615384615385,62.46761904761905
600.6923076923077,60.58380952380952
601.7230769230769,58.92285714285714
602.7538461538461,57.3152380952381
603.7846153846153,55.92666666666668
604.8153846153846,54.72285714285714
605.8461538461538,53.34571428571428
606.876923076923,51.80666666666667
607.9076923076923,50.42571428571428
608.9384615384615,49.168571428571425
609.9692307692308,47.972380952380945
611.0,46.49619047619048
612.0307692307692,45.39142857142858
613.0615384615385,44.19333333333333
614.0923076923077,42.99714285714286
615.123076923077,41.50952380952381
616.1538461538462,40.269523809523804
617.1846153846154,39.09238095238095
618.2153846153847,37.79714285714286
